Codigo Proyecto;Warning;Dif de avance;Estado;Cockpit;Mercado;3 Horizontes;Focos de Gerencia de Innovación;Focos de Innovación de Entel;Proyectos;Actividades;Categorias de innovación;Avance de Actividad %;Prioridad;Fecha de Proyecto;Responsable;Lidera;Equipo;Rol E&I;Comentario;
80;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Smarphone Early Bird;e)Makers;95%;Alta;;JM;NK;;Seguimiento;Implementado, falta evaluación de escalamiento ;
81;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;App Tiendas;e)Makers;60%;Alta;;JM;NK;;Seguimiento;no avanzado;
82;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;My smart Entel;e)Makers;60%;Alta;;JM;NK;;Seguimiento;trabajando con el euipo de app, para proximo version;
83;1%;-42479;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Monitoreo de energia;e)Makers;20%;Alta;;JM;NK;;Seguimiento;falta reuionin con sponsor  y cristian briseño;
84;1%;-43;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Intrainnovación - 2° Desafío Emakers;e)Makers;60%;Alta;07-03-16;JM;MJS;NK,EC;Liderazgo;equipos definidos y primer lab el 17 y 18 de dic;
85;30%;52;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Intrainnovación - 3° Desafío Emakers;e)Makers;30%;Alta;10-06-16;JM;MJS;;Liderazgo;Levantamiento desafios, IoT,  Sustentabilidad, terminales, ;
86;50%;103;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Comunidad Empresas 2.0;e)Makers;50%;Alta;31-07-16;ED;AA;;Seguimiento;Se presento a Mario Nuñez, ok ir a etapa de desarrollo. Se va a presentar trabajo al CI Diciembre - lanzamiento summit;
87;1%;-42479;No Comenzado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Iniciativas de marca;e)Makers;0%;;;JM;NK;;Seguimiento;;
88;1%;-20;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Cambio Experiencia Cine;e)Makers;40%;Alta;30-03-16;JM;JM;AC,JS,MA,MJS,FN,GG;Seguimiento;WS con Cinemark primera semande enero, levantar desafíos en común;
89;1%;-42479;No Comenzado;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Best Practices Vodafone;e)Makers;0%;;;JM;NK;;Seguimiento;;
90;1%;-51;En Desarrollo;NO;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Empuje ADN Innovacion;Desarrollo viaje Roaming;e)Makers;75%;Alta;28-02-16;JM;JM;VC,ED,FN,GG;Liderazgo;Validando posibles soliciones y plan de trabajo definidocon javier traslaviña (whatsap y aeropuesto masiva);
91;1%;-119;En Desarrollo;NO;;Experiencia Superior;Impulsar la Innovación Frontera;MT9 Mejor Experiencia;Realidad aumentada data center;Realidad aumentada data center;SA. Frontera;30%;Media;22-12-15;;NK;;;Validado casos de usos - preparando ppt propuestas para piloto -  Martes 22 de Dic;
92;1%;-42479;No Comenzado;No;VP Corporaciones y VP Empresas;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;Desarrollo de una oferta convergente fijo Movil Ti, (NGN, Serv. Cloud etc.) con foco en Pyme y Micro;;SA. Base;0%;Alta;;;;;;Se esta trabajando con VF, Surge la duda  es necesario otro apoyo adicional;
93;1%;-42479;No Comenzado;No;VP Empresas;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;"Definir estrategia Servicios TI e Infraestructura ""Cloud Broker o Intercloud"" con mirada centrada en el cliente ""segmentado"", la cual se base en una estandarización de soluciones TI con el fin de garantizar un delivery y viaje de incidentes que cuadre con el modelo de negocios.";;SA. Base;0%;Alta;;;;;;Track 2025???;
94;10%;26;En Desarrollo;SI;;;;;SUMMIT;SUMMIT;;10%;Alta;15-05-16;JM;;;Liderazgo;1)Definiendo corner tecnologico  (-Smartparking,  SmartBuilding/Factory,  Big Data Copa America), 2)track de innovación  y 3)apoyo video;
95;1%;-20;En Desarrollo;SI;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Contenido portal Internet Movil;Contenido portal Internet Movil;;10%;Media;30-03-16;JM;;;Seguimiento;Preparando propuesta;
96;1%;-20;En Desarrollo;SI;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Larga distancia Internacional;Larga distancia Internacional;;10%;Media;30-03-16;JM;;;Seguimiento;Preparando propuesta;
97;1%;-42479;No Comenzado;SI;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Experiencia transversal + CXX Experiencia VF;Experiencia transversal + CXX Experiencia VF;;0%;;;;;;;;
98;1%;-42479;No Comenzado;SI;;Transformacional;Impulsar la Innovación Frontera;MT6 Hogar Digital;Apoyo Hogar (Post reunion de alineamiento);Apoyo Hogar (Post reunion de alineamiento);;0%;;;;;;;;
99;1%;-42479;No Comenzado;SI;;Experiencia Superior;Fomentar la Innovación;MT9 Mejor Experiencia;Evolucion del contenido;Evolucion del contenido;;0%;;;;;;;;
100;1%;-42479;No Comenzado;SI;;Evolutiva;Apoyar la Innovación Base;MT2 Empresa Digital;comité de seguimiento 2025;comité de seguimiento 2025;;0%;Alta;;CR;;;Liderazgo;Por definir -  citación pendiente  (atrasado, postergado 3 veces);
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
